row_type,stratum,source_id,genre,word_count,len_bin,S_rater1,R_rater1,S_rater2,R_rater2,model_rater1,model_rater2,S_sigma_rater1,R_sigma_rater1,S_sigma_rater2,R_sigma_rater2,n_sources,pearson_S,pearson_R,icc_S_ICC21,icc_R_ICC21
source,,academic_02,academic,241,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_06,academic,255,long,0.0,0.0,1.0,-0.5,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.5,,,,,
source,,academic_07,academic,285,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_10,academic,178,mid,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_11,academic,166,mid,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_12,academic,236,long,0.0,0.0,1.0,-0.5,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.5,,,,,
source,,academic_13,academic,166,mid,0.0,0.0,1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_15,academic,240,long,0.0,0.0,1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_16,academic,258,long,0.0,0.0,1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_17,academic,273,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_18,academic,181,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_19,academic,253,long,0.0,0.0,1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_20,academic,151,mid,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_22,academic,177,mid,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,academic_23,academic,218,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_04,narrative,265,long,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,narrative_05,narrative,278,long,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_06,narrative,242,long,0.0,0.0,0.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_09,narrative,345,long,0.0,0.0,-1.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_10,narrative,293,long,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_11,narrative,191,long,0.0,0.0,0.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_12,narrative,242,long,0.0,0.0,-0.7,-0.8,coord_deepseek_v4_pro,coord_openai_mini,,,0.3,0.2,,,,,
source,,narrative_13,narrative,228,long,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_15,narrative,277,long,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,narrative_16,narrative,222,long,0.0,0.0,-0.3,0.2,coord_deepseek_v4_pro,coord_openai_mini,,,0.3,0.2,,,,,
source,,narrative_19,narrative,259,long,0.0,0.0,1.0,1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_20,narrative,205,long,0.0,0.0,-0.5,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.5,0.0,,,,,
source,,narrative_21,narrative,289,long,0.0,0.0,0.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_23,narrative,206,long,0.0,0.0,0.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,narrative_25,narrative,216,long,0.0,0.0,0.0,-1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_02,essay,337,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_03,essay,283,long,0.0,0.0,0.8,0.5,coord_deepseek_v4_pro,coord_openai_mini,,,0.2,0.09999999999999998,,,,,
source,,essay_04,essay,264,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_07,essay,359,long,0.0,0.0,-0.4,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_10,essay,359,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_12,essay,121,mid,0.0,0.0,0.6,0.2,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_13,essay,319,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_16,essay,178,mid,0.0,0.0,1.0,0.6,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_17,essay,356,long,0.0,0.0,1.0,0.6,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_18,essay,171,mid,0.0,0.0,0.0,0.30000000000000004,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.1,,,,,
source,,essay_20,essay,180,long,0.0,0.0,0.8,0.5,coord_deepseek_v4_pro,coord_openai_mini,,,0.2,0.09999999999999998,,,,,
source,,essay_21,essay,331,long,0.0,0.0,1.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,essay_23,essay,219,long,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,essay_24,essay,138,mid,0.0,0.0,-0.4,0.1,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.1,,,,,
source,,essay_25,essay,115,short,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,poetry_01,poetry,108,short,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,poetry_05,poetry,157,mid,0.0,0.0,-0.4,0.6,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,poetry_06,poetry,114,short,0.0,0.0,0.0,1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,poetry_08,poetry,121,mid,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,poetry_10,poetry,112,short,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,poetry_14,poetry,159,mid,0.0,0.0,-0.4,0.6,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,poetry_15,poetry,111,short,0.0,0.0,-0.4,0.6,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,poetry_16,poetry,201,long,0.0,0.0,1.0,1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,poetry_17,poetry,185,long,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,poetry_18,poetry,119,short,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,poetry_20,poetry,121,mid,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,poetry_21,poetry,124,mid,0.0,0.0,0.0,1.0,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,poetry_22,poetry,86,short,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
source,,poetry_24,poetry,88,short,0.0,0.0,-0.4,0.4,coord_deepseek_v4_pro,coord_openai_mini,,,0.0,0.0,,,,,
source,,poetry_25,poetry,112,short,0.0,0.0,0.0,0.0,coord_deepseek_v4_pro,coord_openai_mini,,,,,,,,,
summary,overall,,,,,,,,,coord_deepseek_v4_pro,coord_openai_mini,,,,,60.0,,,2.9288331638018555e-16,3.528504549282711e-16
summary,genre:academic,,,,,,,,,coord_deepseek_v4_pro,coord_openai_mini,,,,,15.0,,,,1.3877787807814457e-16
summary,genre:essay,,,,,,,,,coord_deepseek_v4_pro,coord_openai_mini,,,,,15.0,,,4.646580739223591e-17,1.1479787708670046e-16
summary,genre:narrative,,,,,,,,,coord_deepseek_v4_pro,coord_openai_mini,,,,,15.0,,,1.449918129174645e-16,2.398235220244434e-16
summary,genre:poetry,,,,,,,,,coord_deepseek_v4_pro,coord_openai_mini,,,,,15.0,,,4.809134388846596e-16,-9.81918948666117e-17
summary,len_bin:long,,,,,,,,,coord_deepseek_v4_pro,coord_openai_mini,,,,,37.0,,,4.8281913388729186e-17,5.120152481800493e-16
summary,len_bin:mid,,,,,,,,,coord_deepseek_v4_pro,coord_openai_mini,,,,,14.0,,,-1.7042897307842317e-16,-6.033820786006285e-17
summary,len_bin:short,,,,,,,,,coord_deepseek_v4_pro,coord_openai_mini,,,,,9.0,,,-1.4636729328554307e-16,-8.2171112019954e-17
