generator_label,metrics_file,generator_model,outcome,outcome_column,n,fit_type,beta_d,beta_d2,p_d,p_d2,d_star,d2_significant_p05,error
Qwen3-4B,main_qwen3_4b_metrics.jsonl,gen_qwen3_4b,creativity_judge,creativity_judge,720,mixedlm_powell_reml1,0.5347800358737366,-0.41678025941004104,0.11791429009638871,0.18842631719541092,0.6415611389929144,False,
Qwen3-4B,main_qwen3_4b_metrics.jsonl,gen_qwen3_4b,novelty_judge,novelty_judge,720,mixedlm_powell_reml1,0.7324983256887743,-0.39381235777019,0.16071244726199185,0.4134737829721037,0.9300093194589707,False,
Qwen3-4B,main_qwen3_4b_metrics.jsonl,gen_qwen3_4b,dim_novelty,judge_dim__novelty,720,mixedlm_powell_reml1,0.6837270055366507,-0.3905434769322041,0.1905858754400247,0.4178943693718874,0.8753532524822344,False,
Qwen3-4B,main_qwen3_4b_metrics.jsonl,gen_qwen3_4b,dim_surprise,judge_dim__surprise,720,mixedlm_powell_reml1,0.487257496449536,-0.22339824056306426,0.31766634104213476,0.6193892884404649,1.0905580438355904,False,
Qwen3-4B,main_qwen3_4b_metrics.jsonl,gen_qwen3_4b,dim_imagery,judge_dim__imagery,720,mixedlm_powell_reml1,0.9862512035621075,-0.5294985795223731,0.11123311718565528,0.3544167572845264,0.931306751050911,False,
Qwen3-4B,main_qwen3_4b_metrics.jsonl,gen_qwen3_4b,dim_fidelity,judge_dim__fidelity,720,mixedlm_powell_reml1,-1.6778635129729962,1.2627354859747923,0.004756797883954099,0.021766475378370422,0.6643764793216919,True,
Qwen3-4B,main_qwen3_4b_metrics.jsonl,gen_qwen3_4b,dim_fluency,judge_dim__fluency,720,mixedlm_lbfgs_reml0,0.12621695375556663,-0.1177332829910794,0.7706850065534185,0.7693178542945978,0.5360291947568049,False,
Qwen3-4B,main_qwen3_4b_metrics.jsonl,gen_qwen3_4b,dim_consistency,judge_dim__consistency,720,mixedlm_lbfgs_reml1,-0.5658087707867471,0.3094357816720981,0.19681242807556643,0.4463691713526293,0.9142587966544887,False,
Qwen3-4B,main_qwen3_4b_metrics.jsonl,gen_qwen3_4b,dim_logical_completeness,judge_dim__logical_completeness,720,mixedlm_powell_reml1,-0.8092258340889725,0.5576290812847898,0.1325776756690203,0.26353906197979804,0.72559507856414,False,
Qwen3-8B,main_qwen3_8b_metrics.jsonl,gen_qwen3_8b,creativity_judge,creativity_judge,720,mixedlm_powell_reml1,-0.15630386962997384,0.24203256604177686,0.6867272072869155,0.5003047868942685,0.32289842682367476,False,
Qwen3-8B,main_qwen3_8b_metrics.jsonl,gen_qwen3_8b,novelty_judge,novelty_judge,720,mixedlm_powell_reml1,-0.6364497754158811,0.8630918950560919,0.24329724224820803,0.0860587933927998,0.36870336696564543,False,
Qwen3-8B,main_qwen3_8b_metrics.jsonl,gen_qwen3_8b,dim_novelty,judge_dim__novelty,720,mixedlm_powell_reml1,-0.4175521311436713,0.6249485453971839,0.4469199224360483,0.21733520378922755,0.33406920795239026,False,
Qwen3-8B,main_qwen3_8b_metrics.jsonl,gen_qwen3_8b,dim_surprise,judge_dim__surprise,720,mixedlm_powell_reml1,-1.0478641387329903,1.1955811489027752,0.047161860289713725,0.01406847901204592,0.4382237624332946,True,
Qwen3-8B,main_qwen3_8b_metrics.jsonl,gen_qwen3_8b,dim_imagery,judge_dim__imagery,720,mixedlm_powell_reml1,-0.41044390914750256,0.7373039694578277,0.5053982818850485,0.194444587727024,0.2783410412460685,False,
Qwen3-8B,main_qwen3_8b_metrics.jsonl,gen_qwen3_8b,dim_fidelity,judge_dim__fidelity,720,mixedlm_powell_reml1,-1.209818222069633,0.8829584641590322,0.025627727522129946,0.07900606992552128,0.6850935073270497,False,
Qwen3-8B,main_qwen3_8b_metrics.jsonl,gen_qwen3_8b,dim_fluency,judge_dim__fluency,720,mixedlm_powell_reml1,-0.5797432330026808,0.5266829849777578,0.22034414340494146,0.23035041070316742,0.5503720924525062,False,
Qwen3-8B,main_qwen3_8b_metrics.jsonl,gen_qwen3_8b,dim_consistency,judge_dim__consistency,720,mixedlm_powell_reml1,-0.9949800847917584,0.7689030691345622,0.0374971134488561,0.08325072590218548,0.6470126890712355,False,
Qwen3-8B,main_qwen3_8b_metrics.jsonl,gen_qwen3_8b,dim_logical_completeness,judge_dim__logical_completeness,720,mixedlm_powell_reml1,-0.3673405666870279,0.17245776595391707,0.49374528474564805,0.7291726617150485,1.0650160190095064,False,
Qwen3-14B,main_qwen3_14b_metrics.jsonl,gen_qwen3_14b,creativity_judge,creativity_judge,720,mixedlm_powell_reml1,-0.19735613486830128,0.19445443468752316,0.6259701988661017,0.604286242426672,0.5074611314096307,False,
Qwen3-14B,main_qwen3_14b_metrics.jsonl,gen_qwen3_14b,novelty_judge,novelty_judge,720,mixedlm_powell_reml1,0.048120857278430636,0.1262457177108703,0.9393909367813272,0.8286752505579869,-0.19058411703372663,False,
Qwen3-14B,main_qwen3_14b_metrics.jsonl,gen_qwen3_14b,dim_novelty,judge_dim__novelty,720,mixedlm_lbfgs_reml1,-0.06082500945859226,0.18749365341226515,0.9221533771332895,0.7442538959957185,0.16220551563110486,False,
Qwen3-14B,main_qwen3_14b_metrics.jsonl,gen_qwen3_14b,dim_surprise,judge_dim__surprise,720,mixedlm_powell_reml1,-0.09101545851380731,0.23476497909354255,0.877117234106092,0.6653166668573154,0.19384377274930353,False,
Qwen3-14B,main_qwen3_14b_metrics.jsonl,gen_qwen3_14b,dim_imagery,judge_dim__imagery,720,mixedlm_powell_reml1,0.3009571250175619,-0.047993028282849626,0.6828355337603542,0.9436494434779162,3.1354254543373887,False,
Qwen3-14B,main_qwen3_14b_metrics.jsonl,gen_qwen3_14b,dim_fidelity,judge_dim__fidelity,720,mixedlm_powell_reml1,-1.5761199254634912,1.1822102510817347,0.006431826455394212,0.027401032084654123,0.666598823695415,True,
Qwen3-14B,main_qwen3_14b_metrics.jsonl,gen_qwen3_14b,dim_fluency,judge_dim__fluency,720,mixedlm_powell_reml1,-1.0589611249519235,0.841603321161906,0.0128033932540689,0.03301721828134656,0.6291331666146092,True,
Qwen3-14B,main_qwen3_14b_metrics.jsonl,gen_qwen3_14b,dim_consistency,judge_dim__consistency,720,mixedlm_lbfgs_reml0,-1.2786851864279434,0.9256347461688783,0.003258072143366147,0.02160576465478715,0.6907072102253671,True,
Qwen3-14B,main_qwen3_14b_metrics.jsonl,gen_qwen3_14b,dim_logical_completeness,judge_dim__logical_completeness,720,mixedlm_powell_reml1,-1.1235838545393564,0.7459175453846828,0.031870676541429895,0.12458088268114094,0.7531555340744159,False,
GPT-4o,main_metrics.jsonl,gen_openai_4o|gen_openai_mini,creativity_judge,creativity_judge,1440,mixedlm_lbfgs_reml1,-1.0330751491908348,1.0068260207484871,4.2987137777616336e-05,1.7925387493719097e-05,0.5130355830607326,True,
GPT-4o,main_metrics.jsonl,gen_openai_4o|gen_openai_mini,novelty_judge,novelty_judge,1440,mixedlm_lbfgs_reml1,-2.075440914587894,2.253805973562623,3.293074753469775e-08,1.0819477354891894e-10,0.4604302541862588,True,
GPT-4o,main_metrics.jsonl,gen_openai_4o|gen_openai_mini,dim_novelty,judge_dim__novelty,1440,mixedlm_lbfgs_reml1,-0.905584871957123,1.1225271832702943,0.014269534473848905,0.0010465559046735728,0.4033687938490958,True,
GPT-4o,main_metrics.jsonl,gen_openai_4o|gen_openai_mini,dim_surprise,judge_dim__surprise,1440,mixedlm_lbfgs_reml1,-1.767671037820545,1.8907105595006302,5.39592021037796e-07,8.063857830245852e-09,0.46746209485586676,True,
GPT-4o,main_metrics.jsonl,gen_openai_4o|gen_openai_mini,dim_imagery,judge_dim__imagery,1440,mixedlm_lbfgs_reml1,-3.172780960911721,3.3892944422616402,4.4841003666791096e-14,4.226351522626715e-18,0.4680592103993417,True,
GPT-4o,main_metrics.jsonl,gen_openai_4o|gen_openai_mini,dim_fidelity,judge_dim__fidelity,1440,mixedlm_lbfgs_reml1,-0.38813664106443907,-0.03664792378170499,0.25138820108396975,0.9070811233515428,-5.295479266116035,False,
GPT-4o,main_metrics.jsonl,gen_openai_4o|gen_openai_mini,dim_fluency,judge_dim__fluency,1440,mixedlm_lbfgs_reml1,-0.134610246145187,0.10344343083894537,0.09541780597372282,0.16801680315747647,0.650646662883631,False,
GPT-4o,main_metrics.jsonl,gen_openai_4o|gen_openai_mini,dim_consistency,judge_dim__consistency,1440,mixedlm_lbfgs_reml1,0.32953167993173643,-0.6123909138632989,0.08545925425779129,0.0005848376860735558,0.26905337136116964,True,
GPT-4o,main_metrics.jsonl,gen_openai_4o|gen_openai_mini,dim_logical_completeness,judge_dim__logical_completeness,1440,mixedlm_lbfgs_reml1,0.8176709695898445,-1.1258387573406574,4.1307091133224525e-05,1.251546168268704e-09,0.3631385774643539,True,
